ReporterISO3,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeValue in 1000 USD
ITA,Italy,JPN,Japan,2000,Export,3966826.229
ITA,Italy,KOR,"Korea, Rep.",2000,Export,1660129.937
ITA,Italy,MEX,Mexico,2000,Export,1671888.943
ITA,Italy,RUS,Russian Federation,2000,Export,2315962.271
ITA,Italy,SAU,Saudi Arabia,2000,Export,1428495.634
ITA,Italy,TUR,Turkey,2000,Export,4174689.868
ITA,Italy,USA,United States,2000,Export,24491887.513
ITA,Italy,ZAF,South Africa,2000,Export,901636.293
JPN,Japan,ARG,Argentina,2000,Export,728133.686
JPN,Japan,AUS,Australia,2000,Export,8571791.168
JPN,Japan,BRA,Brazil,2000,Export,2522234.528
JPN,Japan,CAN,Canada,2000,Export,7477934.902
JPN,Japan,CHN,China,2000,Export,30382095.707
JPN,Japan,DEU,Germany,2000,Export,19996909.539
JPN,Japan,EUN,European Union,2000,Export,84726052.187
JPN,Japan,FRA,France,2000,Export,7491372.9
JPN,Japan,GBR,United Kingdom,2000,Export,14831133.129
JPN,Japan,IDN,Indonesia,2000,Export,7587476.899
JPN,Japan,IND,India,2000,Export,2486092.017
JPN,Japan,ITA,Italy,2000,Export,5792676.103
JPN,Japan,KOR,"Korea, Rep.",2000,Export,30700381.677
JPN,Japan,MEX,Mexico,2000,Export,5210425.719
JPN,Japan,RUS,Russian Federation,2000,Export,569742.903
JPN,Japan,SAU,Saudi Arabia,2000,Export,3090844.067
JPN,Japan,TUR,Turkey,2000,Export,1209068.278
JPN,Japan,USA,United States,2000,Export,142480029.293
JPN,Japan,ZAF,South Africa,2000,Export,1863299.562
KOR,"Korea, Rep.",ARG,Argentina,2000,Export,447517.39
KOR,"Korea, Rep.",AUS,Australia,2000,Export,2606244.477
KOR,"Korea, Rep.",BRA,Brazil,2000,Export,1724129.845
KOR,"Korea, Rep.",CAN,Canada,2000,Export,2426732.185
KOR,"Korea, Rep.",CHN,China,2000,Export,18454539.579
KOR,"Korea, Rep.",DEU,Germany,2000,Export,5153832.577
KOR,Rep. of Korea,EUN,European Union,2000,Export,24798977.174
KOR,"Korea, Rep.",FRA,France,2000,Export,1749473.177
KOR,"Korea, Rep.",GBR,United Kingdom,2000,Export,5379832.988
KOR,"Korea, Rep.",IDN,Indonesia,2000,Export,3504035.671
KOR,"Korea, Rep.",IND,India,2000,Export,1326165.554
KOR,"Korea, Rep.",ITA,Italy,2000,Export,1909284.965
KOR,"Korea, Rep.",JPN,Japan,2000,Export,20466015.819
KOR,"Korea, Rep.",MEX,Mexico,2000,Export,2391359.858
KOR,"Korea, Rep.",RUS,Russian Federation,2000,Export,788126.805
KOR,"Korea, Rep.",SAU,Saudi Arabia,2000,Export,1262513.87
KOR,"Korea, Rep.",TUR,Turkey,2000,Export,1206539.356
KOR,"Korea, Rep.",USA,United States,2000,Export,37806064.725
KOR,"Korea, Rep.",ZAF,South Africa,2000,Export,494872.687
MEX,Mexico,ARG,Argentina,2000,Export,336876.362
MEX,Mexico,AUS,Australia,2000,Export,160035.171
MEX,Mexico,BRA,Brazil,2000,Export,688834.198
MEX,Mexico,CAN,Canada,2000,Export,3580532.138
MEX,Mexico,CHN,China,2000,Export,310157.697
MEX,Mexico,DEU,Germany,2000,Export,1541930.664
MEX,Mexico,EUN,European Union,2000,Export,6811507.406
MEX,Mexico,FRA,France,2000,Export,325852.826
MEX,Mexico,GBR,United Kingdom,2000,Export,855327.541
MEX,Mexico,IDN,Indonesia,2000,Export,23332.931
MEX,Mexico,IND,India,2000,Export,96149.69
MEX,Mexico,ITA,Italy,2000,Export,255318.75
MEX,Mexico,JPN,Japan,2000,Export,1114591.633
MEX,Mexico,KOR,"Korea, Rep.",2000,Export,293972.374
MEX,Mexico,RUS,Russian Federation,2000,Export,32965.701
MEX,Mexico,SAU,Saudi Arabia,2000,Export,24919.04
MEX,Mexico,TUR,Turkey,2000,Export,25046.04
MEX,Mexico,USA,United States,2000,Export,146599589.178
MEX,Mexico,ZAF,South Africa,2000,Export,16412.994
RUS,Russian Federation,ARG,Argentina,2000,Export,36542.107
RUS,Russian Federation,AUS,Australia,2000,Export,5589.941
RUS,Russian Federation,BRA,Brazil,2000,Export,258559.741
RUS,Russian Federation,CAN,Canada,2000,Export,88904.774
RUS,Russian Federation,CHN,China,2000,Export,5247619.974
RUS,Russian Federation,DEU,Germany,2000,Export,9231828.795
RUS,Russian Federation,EUN,European Union,2000,Export,58676070.355
RUS,Russian Federation,FRA,France,2000,Export,1913696.882
RUS,Russian Federation,GBR,United Kingdom,2000,Export,4670041.638
RUS,Russian Federation,IDN,Indonesia,2000,Export,37200.045
RUS,Russian Federation,IND,India,2000,Export,1081683.949
RUS,Russian Federation,ITA,Italy,2000,Export,7254325.411
RUS,Russian Federation,JPN,Japan,2000,Export,2764309.173
RUS,Russian Federation,KOR,"Korea, Rep.",2000,Export,972070.621
RUS,Russian Federation,MEX,Mexico,2000,Export,114186.516
RUS,Russian Federation,SAU,Saudi Arabia,2000,Export,55345.975
RUS,Russian Federation,TUR,Turkey,2000,Export,3098321.963
RUS,Russian Federation,USA,United States,2000,Export,4648015.624
RUS,Russian Federation,ZAF,South Africa,2000,Export,33627.525
SAU,Saudi Arabia,ARG,Argentina,2000,Export,2423.47
SAU,Saudi Arabia,AUS,Australia,2000,Export,101858.794
SAU,Saudi Arabia,BRA,Brazil,2000,Export,62.4
SAU,Saudi Arabia,CAN,Canada,2000,Export,15548.82
SAU,Saudi Arabia,CHN,China,2000,Export,114082.276
SAU,Saudi Arabia,DEU,Germany,2000,Export,3880.805
SAU,Saudi Arabia,EUN,European Union,2000,Export,14650034.145
SAU,Saudi Arabia,FRA,France,2000,Export,8985.878
SAU,Saudi Arabia,GBR,United Kingdom,2000,Export,47033.392
SAU,Saudi Arabia,IDN,Indonesia,2000,Export,77854.764
SAU,Saudi Arabia,IND,India,2000,Export,203207.721
SAU,Saudi Arabia,ITA,Italy,2000,Export,135738.569
SAU,Saudi Arabia,JPN,Japan,2000,Export,245086.706
SAU,Saudi Arabia,KOR,"Korea, Rep.",2000,Export,155200.994
SAU,Saudi Arabia,MEX,Mexico,2000,Export,213.067
SAU,Saudi Arabia,RUS,Russian Federation,2000,Export,42.4
SAU,Saudi Arabia,TUR,Turkey,2000,Export,57984.605
SAU,Saudi Arabia,USA,United States,2000,Export,539421.741
SAU,Saudi Arabia,ZAF,South Africa,2000,Export,47984.327
TUR,Turkey,ARG,Argentina,2000,Export,23125.817
TUR,Turkey,AUS,Australia,2000,Export,121579.354
TUR,Turkey,BRA,Brazil,2000,Export,41289.565
TUR,Turkey,CAN,Canada,2000,Export,171966.158
TUR,Turkey,CHN,China,2000,Export,91336.496
TUR,Turkey,DEU,Germany,2000,Export,5171172.501
TUR,Turkey,EUN,European Union,2000,Export,17241407.309
TUR,Turkey,FRA,France,2000,Export,1651591.721
TUR,Turkey,GBR,United Kingdom,2000,Export,2023665.644
TUR,Turkey,IDN,Indonesia,2000,Export,29979.962
TUR,Turkey,IND,India,2000,Export,56016.694
TUR,Turkey,ITA,Italy,2000,Export,1755168.844
TUR,Turkey,JPN,Japan,2000,Export,149088.426
TUR,Turkey,KOR,"Korea, Rep.",2000,Export,130865.411
TUR,Turkey,MEX,Mexico,2000,Export,41071.066
TUR,Turkey,RUS,Russian Federation,2000,Export,639078.706
TUR,Turkey,SAU,Saudi Arabia,2000,Export,373667.035
TUR,Turkey,USA,United States,2000,Export,3074128.036
TUR,Turkey,ZAF,South Africa,2000,Export,70564.182
USA,United States,ARG,Argentina,2000,Export,4314340.908
USA,United States,AUS,Australia,2000,Export,11704105.832
USA,United States,BRA,Brazil,2000,Export,13986018.418
USA,United States,CAN,Canada,2000,Export,157998574.329
USA,United States,CHN,China,2000,Export,15257858.211
USA,United States,DEU,Germany,2000,Export,27602030.485
USA,USA,EUN,European Union,2000,Export,189829009.669
USA,United States,FRA,France,2000,Export,19190125.142
USA,United States,GBR,United Kingdom,2000,Export,38147688.851
USA,United States,IDN,Indonesia,2000,Export,2298648.6
USA,United States,IND,India,2000,Export,3378798.383
USA,United States,ITA,Italy,2000,Export,9576294.21
USA,United States,JPN,Japan,2000,Export,60429836.314
USA,United States,KOR,"Korea, Rep.",2000,Export,26230580.501
USA,United States,MEX,Mexico,2000,Export,100020656.502
USA,United States,RUS,Russian Federation,2000,Export,1993853.036
USA,United States,SAU,Saudi Arabia,2000,Export,5869133.047
USA,United States,TUR,Turkey,2000,Export,3661097.451
USA,United States,ZAF,South Africa,2000,Export,2834335.51
ZAF,South Africa,ARG,Argentina,2000,Export,93616.626
ZAF,South Africa,AUS,Australia,2000,Export,480206.121
ZAF,South Africa,BRA,Brazil,2000,Export,201780.26
ZAF,South Africa,CAN,Canada,2000,Export,219419.281
ZAF,South Africa,CHN,China,2000,Export,335189.211
ZAF,South Africa,DEU,Germany,2000,Export,1900024.142
ZAF,South Africa,EUN,European Union,2000,Export,13517697.514
ZAF,South Africa,FRA,France,2000,Export,564208.134
ZAF,South Africa,GBR,United Kingdom,2000,Export,2287993.862
ZAF,South Africa,IDN,Indonesia,2000,Export,111740.666
ZAF,South Africa,IND,India,2000,Export,371740.568
ZAF,South Africa,ITA,Italy,2000,Export,838237.581
ZAF,South Africa,JPN,Japan,2000,Export,1354641.71
ZAF,South Africa,KOR,"Korea, Rep.",2000,Export,594385.992
ZAF,South Africa,MEX,Mexico,2000,Export,140915.763
ZAF,South Africa,RUS,Russian Federation,2000,Export,30479.741
ZAF,South Africa,SAU,Saudi Arabia,2000,Export,150914.126
ZAF,South Africa,TUR,Turkey,2000,Export,105713.096
ZAF,South Africa,USA,United States,2000,Export,2409237.052
ARG,Argentina,AUS,Australia,2001,Export,66179.007
ARG,Argentina,BRA,Brazil,2001,Export,6205629.881
ARG,Argentina,CAN,Canada,2001,Export,223650.248
ARG,Argentina,CHN,China,2001,Export,1122612.132
ARG,Argentina,DEU,Germany,2001,Export,463769.29
ARG,Argentina,EUN,European Union,2001,Export,5159222.247
ARG,Argentina,FRA,France,2001,Export,258064.127
ARG,Argentina,GBR,United Kingdom,2001,Export,292023.4
ARG,Argentina,IDN,Indonesia,2001,Export,43218.554
ARG,Argentina,IND,India,2001,Export,440437.446
ARG,Argentina,ITA,Italy,2001,Export,852166.597
ARG,Argentina,JPN,Japan,2001,Export,364148.174
ARG,Argentina,KOR,"Korea, Rep.",2001,Export,396380.754
ARG,Argentina,MEX,Mexico,2001,Export,484271.546
ARG,Argentina,RUS,Russian Federation,2001,Export,150657.237
ARG,Argentina,SAU,Saudi Arabia,2001,Export,57196.771
ARG,Argentina,TUR,Turkey,2001,Export,55149.779
ARG,Argentina,USA,United States,2001,Export,2900129.494
ARG,Argentina,ZAF,South Africa,2001,Export,315220.1
AUS,Australia,ARG,Argentina,2001,Export,42994.37
AUS,Australia,BRA,Brazil,2001,Export,244917.851
AUS,Australia,CAN,Canada,2001,Export,938178.419
AUS,Australia,CHN,China,2001,Export,3917959.221
AUS,Australia,DEU,Germany,2001,Export,752961.734
AUS,Australia,EUN,European Union,2001,Export,8573580.003
AUS,Australia,FRA,France,2001,Export,625573.879
AUS,Australia,GBR,United Kingdom,2001,Export,2685676.574
AUS,Australia,IDN,Indonesia,2001,Export,1663755.52
AUS,Australia,IND,India,2001,Export,1252743.197
AUS,Australia,ITA,Italy,2001,Export,1139224.524
AUS,Australia,JPN,Japan,2001,Export,12255376.776
AUS,Australia,KOR,"Korea, Rep.",2001,Export,4925112.283
AUS,Australia,MEX,Mexico,2001,Export,209254.374
AUS,Australia,RUS,Russian Federation,2001,Export,96210.509
AUS,Australia,SAU,Saudi Arabia,2001,Export,1358747.692
AUS,Australia,TUR,Turkey,2001,Export,156267.748
AUS,Australia,USA,United States,2001,Export,6170683.106
AUS,Australia,ZAF,South Africa,2001,Export,670871.503
BRA,Brazil,ARG,Argentina,2001,Export,4993052.394
BRA,Brazil,AUS,Australia,2001,Export,247317.033
BRA,Brazil,CAN,Canada,2001,Export,554053.8
BRA,Brazil,CHN,China,2001,Export,1901250.877
BRA,Brazil,DEU,Germany,2001,Export,2498270.734
BRA,Brazil,EUN,European Union,2001,Export,17553468.76
BRA,Brazil,FRA,France,2001,Export,1673225.348
BRA,Brazil,GBR,United Kingdom,2001,Export,1702994.442
BRA,Brazil,IDN,Indonesia,2001,Export,206901.127
BRA,Brazil,IND,India,2001,Export,284976.706
BRA,Brazil,ITA,Italy,2001,Export,1807575.439
BRA,Brazil,JPN,Japan,2001,Export,1984742.464
BRA,Brazil,KOR,"Korea, Rep.",2001,Export,736309.319
BRA,Brazil,MEX,Mexico,2001,Export,1866454.084
BRA,Brazil,RUS,Russian Federation,2001,Export,1100947.486
BRA,Brazil,SAU,Saudi Arabia,2001,Export,568406.266
BRA,Brazil,TUR,Turkey,2001,Export,166319.428
BRA,Brazil,USA,United States,2001,Export,14337494.421
BRA,Brazil,ZAF,South Africa,2001,Export,423607.073
CAN,Canada,ARG,Argentina,2001,Export,82650.082
CAN,Canada,AUS,Australia,2001,Export,624384.564
